,content,score,at
7303,makin canggih,5,2024-08-03 03:35:42
7208,wow,5,2024-08-03 04:02:45
855,"keren sih app , tapi jadinya app google asisten gak guna dah ,harusnya Gemini punya app sendiri jadi gak Gonta ganti ke Gemini - trus ke google asisten",5,2024-08-03 04:40:34
7285,bagus,5,2024-08-03 05:10:40
2782,mantul sesuai dengan selera,5,2024-08-03 05:49:28
126,"ini apk bagus sih, detail banget penjelasan nya, terus free tanpa premium. semoga ke depan nya tetap seperti free dan percakapan dengan ai nya tetap aman. aku suka pake banget♥️♥️♥️",5,2024-08-03 06:23:35
7269,wow,5,2024-08-03 06:27:46
1290,"Gemini Seru banget plus membantu banget, udah berasa kayak ngobrol sama temen aja, thank you so much Google Gemini 🥺",5,2024-08-03 06:41:22
8475,I Like Google Gemini by Google LLC!,5,2024-08-03 07:04:42
7350,aplikasi keren,5,2024-08-03 07:19:50
125,"Model bahasa ai nya sangat membantu apalagi untuk menjawab pertanyaan dan soalan, tapi masih ada kekurangan seperti fitur imagine untuk menggambar wajah seseorang atau nama tokoh karakter tertentu Gemini tidak bisa membuatnya, semoga kedepannya Gemini semakin berkembang!",4,2024-08-03 07:26:02
7204,ok,5,2024-08-03 07:49:12
4354,sangat membantu.,5,2024-08-03 08:08:49
7256,bagus,5,2024-08-03 08:59:58
8347,WHO WILL I BE TONIGHT,5,2024-08-03 09:20:33
7321,Best app,5,2024-08-03 09:31:58
311,Aplikasi ini sangat membantu saya sebagai guru yang baru belajar beradaptasi dengan dunia teknologi. Sebenarnya guru-guru dijaman sekarang harus sesering mungkin berlayar di dunia teknologi. Hal ini diharuskan dalam untuk guru-guru di jaman sekarang. Kalau kita sebagai guru jika tidak mau berusaha untuk belajar dengan dunia internet maka kita sebagai guru akan ketinggalan dengan guru lainnya yang sudah bergaul dengan dunia internet. Setelah saya mengenal aplikasi ini maka saya sangat terbantuh.,5,2024-08-03 10:03:56
7082,keren!!!👍,5,2024-08-03 10:11:01
115,aplikasinya bagus sekali aku memberikan pertanyaan selalu dijawab dengan sangat benar dan aku sangat berterima kasih karena Google ini bisa membantuku selesaikan PR atau sejenisnya seperti yang aku ini pertanyaan yang blank blank blank yang bisa dikasih tahu gimana caranya seperti sejarah Portugis yang menjajah Indonesia Aku disuruh mengerjakan itu dan Google sangat cepat untuk menjawabku terima kasih aplikasi ini aku sangat berterima kasih denganmu karena kau sudah memberikan ku sang efikasi ya,5,2024-08-03 10:45:03
7280,terimakasih,5,2024-08-03 11:04:17
2779,program yang bagus,5,2024-08-03 11:07:38
7308,Good aplikasi,5,2024-08-03 11:25:37
7320,Okay good,5,2024-08-03 11:34:44
2821,Aplikasi yang sangat bagus dan sangat membantu guru,5,2024-08-03 11:51:35
1276,Tidak bisa membaca halaman web seperti google assistan,3,2024-08-03 12:12:22
7295,cukup bagus,5,2024-08-03 12:41:41
470,Ok semua fitur sangat lengkap dan sangat resposif. epat dan berguna,5,2024-08-03 12:47:04
7357,KEREN BANGET,5,2024-08-03 13:07:32
2795,sangat baik dan bermanfaat,5,2024-08-03 13:21:16
4212,sangat membantuuu,5,2024-08-03 13:25:03
1283,sangat membantu dlm pengucapan,5,2024-08-03 13:56:55
7261,ok,5,2024-08-03 13:58:34
7107,good,5,2024-08-03 13:59:12
7305,good job,5,2024-08-03 14:03:34
7158,bagus,5,2024-08-03 14:51:20
2073,Saran yang diberikan menjerumuskan. Dan terlalu banyak memberikan pilihan. Bukannya terbantu malah semakin rumit dengan ai yg ini. Ooen ai lebih baik dari gemini,1,2024-08-03 14:53:33
7210,Bagus,5,2024-08-03 14:57:15
7027,Ainya bisa kunamai Gem-AI,5,2024-08-03 15:01:31
7299,Sangat Bermanfaat,5,2024-08-03 15:09:39
3629,sangat membantu,5,2024-08-03 15:56:56
7293,"mantap,",5,2024-08-03 16:17:57
4244,keren aku suka,5,2024-08-03 16:46:10
3756,"Dengan AI, kita dapat mengevaluasi pembelajaran yang bermakna",5,2024-08-03 16:47:29
7136,bagus,5,2024-08-03 17:34:11
7075,excellent 👌👍,5,2024-08-03 17:57:12
7175,good,5,2024-08-03 19:25:33
4253,mantab kali parah,5,2024-08-03 21:30:05
2798,aplikasi yang bagus,5,2024-08-03 22:14:41
4095,Gw kira asisten genshin,3,2024-08-03 22:22:31
7257,Jos,5,2024-08-03 23:57:23
8563,bagus,5,2024-08-04 00:17:35
8112,good,5,2024-08-04 00:23:53
3019,belum ada otomatis percakapan secara feedback,3,2024-08-04 00:38:02
3802,simple dan asik,5,2024-08-04 00:40:42
7747,ok,5,2024-08-04 01:13:03
8511,ok lah,4,2024-08-04 01:15:56
1284,"produk suplemen premium untuk menjaga imunitas dan penyembuhan,",5,2024-08-04 01:48:40
1622,baru coba² blm ngerasain sensasi nya,3,2024-08-04 01:59:23
7166,bagus,5,2024-08-04 03:09:21
8572,good,5,2024-08-04 03:31:52
2866,bagus sangat membantu,5,2024-08-04 03:39:14
7238,The best,5,2024-08-04 04:59:52
7226,mantap,5,2024-08-04 05:31:52
3495,Lebih Praktis Ok,5,2024-08-04 06:10:32
7252,hebat,5,2024-08-04 06:15:06
1338,saya suka aplikasi ini semoga aplikasi ini tetap berjalan sampai seterusnya🥰🥰🥰🥰,5,2024-08-04 06:24:16
4216,gak berguna,1,2024-08-04 06:31:01
7313,good job,5,2024-08-04 07:57:37
1303,sangat rekomendasi karena bagus dan berkualitas,5,2024-08-04 08:33:43
7163,good,5,2024-08-04 08:35:27
3751,Lebih suka Gemini di bandingkan google asisten 🤭,5,2024-08-04 09:21:17
1301,bagus sekali langsung ada jawabannya tidak usah ribet lagi,5,2024-08-04 10:07:39
858,Really good services!!! Bener-bener ngebantu banget buat ngerjain segala hal di kehidupan sehari-hari,4,2024-08-04 10:27:00
7309,sangat bagus,5,2024-08-04 10:32:02
3486,sangat membantu,5,2024-08-04 10:33:09
3433,sangat membantu,5,2024-08-04 10:50:58
7212,terimakasiya,5,2024-08-04 11:23:29
4254,membantu bgt,5,2024-08-04 11:44:01
7965,keren,5,2024-08-04 11:47:26
7016,"This AI application is very useful but sometimes makes mistakes when asked questions, such as providing irrelevant answers or discussing unrelated topics.",3,2024-08-04 12:15:24
3010,bagus semoga semakin bisa diandalkan dimasa masa depan,5,2024-08-04 12:17:00
7341,gg geming,5,2024-08-04 12:18:37
2772,"bermanfaat,terima kasih Google Gemini.",5,2024-08-04 12:28:13
7101,mantap,5,2024-08-04 12:36:48
8251,bagus kok,5,2024-08-04 12:43:09
7322,keren bangat,5,2024-08-04 12:54:57
3394,saya sangat senang karane adanya Gemini ini saya mudah melakukan kerja sekolah,5,2024-08-04 13:01:17
7190,best,5,2024-08-04 13:08:25
7142,mantap,5,2024-08-04 13:32:33
8094,baiikk,5,2024-08-04 13:33:45
2458,Sangat terbantu dengan aplikasi ini,5,2024-08-04 13:34:32
3051,bisa untuk curhat bisa untuk?,5,2024-08-04 13:41:08
7181,best,5,2024-08-04 13:58:01
3481,baik respon cepat,5,2024-08-04 14:06:42
2962,Bisa menjawab pertanyaan secara akurat,5,2024-08-04 14:20:30
3093,sangat membantu,5,2024-08-04 14:34:05
7201,bagus,5,2024-08-04 14:49:54
7112,Mbois,5,2024-08-04 15:18:41
2758,bagus lebih ditingkatkan lagi,5,2024-08-04 15:31:09
7077,good job..,5,2024-08-04 15:42:11
4251,Tes ttg ok,5,2024-08-04 15:49:37
7367,🥰🥰🥰,5,2024-08-04 16:03:31
7132,bagus,5,2024-08-04 16:14:59
1315,bagus banget sangat membantu kegiatan sehari*,5,2024-08-04 16:22:36
2061,perbaiki masalah bug responsif dan segala aspek kekurangan dan menjadi lebih baik dan meningkat dan berkelanjutan untuk masa depan,5,2024-08-04 17:09:53
594,"Slow respon, kurang lengkap seperti asisten google untuk remote perangkat iot",3,2024-08-04 17:34:24
4202,ini keren banget,5,2024-08-04 17:59:43
8673,good,5,2024-08-04 19:36:40
4405,Banyak bugg nya,1,2024-08-05 00:30:59
7259,kerenn,5,2024-08-05 00:31:12
7344,terima kasih,5,2024-08-05 01:20:09
7087,gada gambar,2,2024-08-05 02:09:21
7044,bagus,4,2024-08-05 02:24:05
7065,sangat baik,4,2024-08-05 02:53:15
7209,luarbiasa,5,2024-08-05 04:40:39
7161,mantap,5,2024-08-05 05:38:52
1146,lebih mudah dibandingkan search di browser,5,2024-08-05 05:43:39
7168,nice,5,2024-08-05 05:51:17
4290,sangat membantu,5,2024-08-05 05:56:13
3031,"Jelek, lebih suka google biasa, malah bikin repot make gemini",1,2024-08-05 06:57:31
7222,baik,5,2024-08-05 07:49:39
1808,Jawabannya akurat & sangat membantu 😊,5,2024-08-05 08:42:01
1988,"Di google gemini Jam tidak akurat,di google asisten lebih akurat",2,2024-08-05 08:42:31
7060,kurang jelas,3,2024-08-05 09:45:08
3114,aplikasinya keren,5,2024-08-05 09:51:06
459,"Sangat terbantu sekali dengan aplikasi Gemini ini, udah Gratis dan mampu mengerjakan Tugas apapun",5,2024-08-05 09:58:23
7034,Image generator scam,2,2024-08-05 10:32:00
2800,sangat membantu sekali,5,2024-08-05 11:18:54
8490,bagus,4,2024-08-05 11:28:34
7141,ok,5,2024-08-05 12:26:24
3029,Bagus tapi sedikit meleset atau tidak akurat,5,2024-08-05 12:29:20
4342,cukup membantu,5,2024-08-05 12:55:29
7095,mantap bos quu,5,2024-08-05 12:59:18
7106,baguss,5,2024-08-05 13:02:01
3090,sangat membantu 👍,5,2024-08-05 13:27:51
7041,OK banget guys 👍,5,2024-08-05 13:36:20
2166,sangat cocok bagi saya yang masih sekolah,5,2024-08-05 13:47:26
4167,semoga membantu,5,2024-08-05 13:50:43
1642,"bagus, semoga bisa ditingkatkan lagi",5,2024-08-05 14:00:19
3104,sangat membantu,5,2024-08-05 14:31:40
898,"Sejauh inisih informasi dan interaksi nya cukup bagus,tapi tolong kedepannya tolong tambahkan fitur Pembuatan gambar/foto seperti pada Chat GPT, tapi Gratis agar semua orang bisa menikmatinya",5,2024-08-05 14:52:28
7133,kereeeeeennnnnnn,5,2024-08-05 15:08:04
2480,terimakasih bisa membantu cari solusi,4,2024-08-05 15:08:33
3534,sangat membantu,4,2024-08-05 15:11:57
176,"Sangat membantu sekali bagi guru dalam menyusun strategi pembelajaran! Thank you Gemini, pertahankan yang baik dan terus berkembang ya!",5,2024-08-05 15:19:43
1278,Sangat Berfokus Pada Teknologi Masa Depan,5,2024-08-05 15:24:54
7469,good,4,2024-08-05 16:01:22
1036,size kecil tapi performa sangat bagus dan mudah untuk di gunakan,5,2024-08-05 16:17:10
7196,the best,5,2024-08-05 16:19:17
3800,pertanyaan terjawab dengan baik.,5,2024-08-05 16:34:21
1289,sangat membantu dan sangat mudah digunakan,5,2024-08-05 16:50:24
7174,gacor,5,2024-08-05 16:56:57
2365,"sangat membantu,the best lah pokoknya",5,2024-08-05 21:19:27
1299,sangat membantu saya mengerjakan tugas ini adalah salah satu aplikasi mantal ok(🍔🍔🍔paham),5,2024-08-05 22:37:59
7169,mantap,5,2024-08-05 23:19:09
1974,aplikasi ini mantap bisa memberikan solusi bagi yang belum tahu,5,2024-08-05 23:31:03
3783,"sangat membantu, menyala gemini men 🔥",5,2024-08-06 00:35:58
3611,"dunia indah tanpa gemini, tapi yang ini beda",5,2024-08-06 01:43:23
2624,informasi yg diberikan cukup bagus,4,2024-08-06 01:44:14
3329,AI Gemini selalu terdepan.,5,2024-08-06 01:56:23
7272,ok,5,2024-08-06 01:57:44
3444,sangat bermanfaat..,5,2024-08-06 01:58:43
7202,bagus,5,2024-08-06 02:00:46
2657,Fiturnya bagusan google asisten krn bisa instan nyari dari screenshot,1,2024-08-06 02:03:27
7017,"It helps provide me with suggestions and improvements for certain things for projects and stuffs. Sometimes it doesn't really connect with the questions, but if the users are able to form the question better, the AI could reach the idea. Although it might take some patience to guide it to the idea we're trying to convey. Overall, it's still good for assistance.",4,2024-08-06 02:12:35
7151,mantap,5,2024-08-06 02:51:20
7349,bagus banget,5,2024-08-06 04:24:44
7235,mantap,5,2024-08-06 04:38:31
7046,boleh juga,4,2024-08-06 04:49:24
7302,trima kasih,5,2024-08-06 04:57:16
1316,"bagus, lebih bagus dari chat gpt yg gratis.,",5,2024-08-06 05:00:34
2895,perlu ditingkatkan,2,2024-08-06 06:16:03
3036,kelihatannya apk ini bagus. saya masih nyobain apk,4,2024-08-06 06:23:34
7325,Great Job,5,2024-08-06 07:11:41
4189,bermafaat sekali 👍,5,2024-08-06 07:15:33
8508,masih coba,4,2024-08-06 07:42:07
2804,sangat membantu sekali,5,2024-08-06 08:04:21
3847,sangat membantu untuk saya,5,2024-08-06 08:08:49
2789,naskah skrip untuk live.tentang dunia marketing radio,4,2024-08-06 10:13:29
7355,Oke GG,5,2024-08-06 10:18:31
8611,good,5,2024-08-06 10:22:25
1332,sangat ramah mudah di pakai,5,2024-08-06 10:42:17
7249,nice,5,2024-08-06 10:47:02
2111,mudah diajak tanya jawab dan memberikan jawaban yang diharapkan,5,2024-08-06 10:49:07
7270,oke,5,2024-08-06 11:07:37
7071,good,3,2024-08-06 11:59:58
7039,uji coba,4,2024-08-06 12:08:52
7217,goodddd,5,2024-08-06 12:11:10
2993,sangat membantu,5,2024-08-06 12:21:50
7184,bagus,5,2024-08-06 12:39:59
1175,"Gara² Google Yang Sungguhan Itu Malah Nawarin Google Baru Yaitu Google Gemini, Nah Google Gemini Nya Susah dihapus, Terus Aku Paksa Pakai Play Store dan ZArchiver sama Files, Nah Sekarang udah Kehapus Google Gemini, Soalnya MemoryKu Takut Penuh, Nah Jadi Begitu. (Selesai).",4,2024-08-06 12:57:37
7032,"mirip chat gpt, bagus",5,2024-08-06 13:45:42
7276,ok,5,2024-08-06 13:50:40
3039,bagus mempermudah,4,2024-08-06 13:58:34
3087,baguss lahh pokoknyaa,4,2024-08-06 14:02:32
7273,mantaaap,5,2024-08-06 14:10:50
7099,keren,5,2024-08-06 14:23:35
7189,kelas,5,2024-08-06 14:26:13
8724,the best AI,5,2024-08-06 14:31:01
7279,mantap,5,2024-08-06 14:33:36
467,"tts nya lebih mantap chat gpt, tapi lainnya gak kalah. cuma kurang bagian persinalisasi yg kayak chat gpt aja",5,2024-08-06 14:37:40
7229,jelas,5,2024-08-06 14:44:58
7327,sangat puas,5,2024-08-06 14:48:25
2994,wow 😲 aplikasi keren,5,2024-08-06 14:52:20
3798,Gemini Sangat bermanfaat sekali,5,2024-08-06 15:18:28
2808,sejauh ini bagus si.,5,2024-08-06 15:40:57
2643,gemini masih butuh belajar data dari yang dihasilkan manusia,3,2024-08-06 15:48:54
3846,saya merasa terbantu,5,2024-08-06 15:50:26
7162,Good,5,2024-08-06 15:56:14
8702,BAGUS,5,2024-08-06 15:58:21
3422,Mantap sejauh ini,5,2024-08-06 16:04:16
7172,keren,5,2024-08-06 16:26:57
2765,keren pokoknya baru coba👍,5,2024-08-06 16:45:23
3020,"Bagus sih cuman,kadang eror saat main knock knock joke dan kalau ditanya""you eror"" dia bilang ""you absolutely right"" pinter banget ai nya😄",4,2024-08-06 17:57:27
1328,tidak bisa bahasa Indonesia,1,2024-08-06 23:34:42
7362,👍👍⭐⭐⭐,5,2024-08-06 23:46:13
7260,bagus,5,2024-08-07 00:31:35
1342,"Aplikasi yang berguna, semua pertanyaan dijawab dengan baik",5,2024-08-07 00:33:43
7241,mantap,5,2024-08-07 00:35:03
1322,simpel cepat dan sangat baguss,4,2024-08-07 01:22:13
451,". sangat membantu dalam mengerjakan tugas tugas, selain itu dapat membantu untuk mencari ide ide",5,2024-08-07 01:25:42
1074,sangat membantu bagi para pelajar dan lebih mudah di pahami,5,2024-08-07 01:26:28
3038,cukup membantu dalam mencari informasi,5,2024-08-07 02:03:27
7213,bagus,5,2024-08-07 02:05:37
7197,good,5,2024-08-07 02:22:02
2022,sangat membantu buat belajar,4,2024-08-07 02:30:48
1317,bagus sebagai pengganti google assistant,5,2024-08-07 02:46:38
3145,sangat membantu,5,2024-08-07 02:49:55
2070,sangat bagus dan begitu akrab cerdas. seakan punya temen baru. makasih telah membuat aplikasi ini🙏,5,2024-08-07 02:54:04
468,membantu sekali dalam memberikan sebuah solusi meski itu masalah yang kecil sekalipun bahkan masalah yang cukup rumit,4,2024-08-07 03:58:56
7070,lumayan,3,2024-08-07 05:13:19
7245,keren,5,2024-08-07 06:14:55
3727,bruh gak bisa bikin gambar 😞,3,2024-08-07 07:14:41
915,keren. jawabannya sangat spontan dn cepat efektif pula,4,2024-08-07 07:16:00
7195,mantabs,5,2024-08-07 07:29:24
1330,aplikasi ini sangat membantu saya dalam mengerjakan tugas BHS inggris saya,5,2024-08-07 07:42:48
2387,bagus banget apk nya 👍🏻,4,2024-08-07 09:06:40
2784,"lumayan pak, bisa kaya chatgpt",4,2024-08-07 10:36:10
1321,secara fungsi lebih familiar dr apps AI lainnya,5,2024-08-07 10:44:28
130,"Aplikasi ini sangat bagus dan kita tidak perlu bayar untuk menggunakannya dan melihat jawabnnya tidak seperti aplikasi lain semoga Gemini AI ini bisa di kembangkan lebih baik lagi dan bisa di gunakan untuk menjawab pertanyaan, dan juga sudah banyak orang yang terbantu dengan Gamini AI ini Semoga banyak orang menggunakan Gemini AI ini terimakasih.",5,2024-08-07 10:47:20
7306,good job,5,2024-08-07 11:02:28
4448,baik sekali,5,2024-08-07 11:21:56
1148,"sejauh ini, setiap jawaban yang diberi Gemini A.I masih sangat akurat jadi cocok buat kalian yang memang butuh jawaban yang benar benar tepat.",5,2024-08-07 11:48:03
8709,Gedha gedhi gedha gedha O,5,2024-08-07 11:57:19
2759,Sangat membantu ketika buntu,4,2024-08-07 12:04:36
1149,puas banget apapun yang di tanya pasti di jawab dengan jelas dan detail,5,2024-08-07 12:05:55
1281,"sangat bagus,saya merekomendasikan ini untuk yg lain agar memudahkan sesuai kebutuhan",5,2024-08-07 12:14:19
2801,sangat membantu sekali,5,2024-08-07 12:36:11
2799,"sukaaaa, bener"" baguss",5,2024-08-07 12:46:01
7083,PERFECTTTTTT !!!!!!!!!,5,2024-08-07 13:05:28
7316,keren banget,5,2024-08-07 13:07:29
2451,sangat membantu tentang apa saja yg belum saya mengerti. terima kasih,5,2024-08-07 13:08:37
7331,great apps,5,2024-08-07 13:35:11
7125,Terimakasih,5,2024-08-07 13:48:17
7290,sangat 👌,5,2024-08-07 13:59:59
7288,sangat membabtu,5,2024-08-07 14:35:39
3157,"Maaf, saya harus kasih rating segini karna Gemini belum bisa diakses di smartphoneku 📱",2,2024-08-07 14:38:02
3487,sangat membantu,5,2024-08-07 14:46:54
4257,menyenangkan,5,2024-08-07 14:49:37
2109,"sangat membantu, luar biasa keren",5,2024-08-07 15:50:50
2754,aplikasi ini sangat bagus sekali,5,2024-08-07 15:54:32
3762,Reward sudah tidak lancar,1,2024-08-07 16:18:48
3474,ih mantap.makasih penyedia info lengkap,5,2024-08-07 17:16:35
7354,good job,5,2024-08-07 17:30:43
7335,Civil Disturbance,5,2024-08-07 18:24:25
123,bagus tapi sering ada bug. bug nya si cuman biasa aja bug nya itu bahasa Inggris kalo lagi cari apa apa pasti ada bug bahasa Inggris contoh pas lagi nyari makan tradisional ehhh malah teks nya bahasa Inggris tapi ok lah ya masih bisa di perbaiki dengan cara. kok bahasa Inggris Gemini kan aku orang indo semoga lebih baik ya Gemini cuman itu bug nya,4,2024-08-07 19:14:29
7187,mantap,5,2024-08-07 20:38:02
4459,CEMAS KAU DEK BEK BEK BEK 🦆🦆🦆,5,2024-08-07 22:10:08
7372,👍👍,5,2024-08-07 23:42:40
7040,terimakasih ☺️🙏,5,2024-08-07 23:59:02
449,Sangat terbantu dengan aplikasi gemini dalam menyelesaikan pekerjaan sebagai guru. Berharap gemini dapat terus berkembang dan bermanfaat.,5,2024-08-08 00:44:03
7338,oke gan,5,2024-08-08 01:12:42
2871,bagus siehh membantu🤩,5,2024-08-08 01:23:20
7177,good,5,2024-08-08 01:49:35
3544,vitur yg banyak membantu,5,2024-08-08 01:56:15
7312,sip madep,5,2024-08-08 02:13:18
7029,"upgrade version from the competitor, very like, the best",5,2024-08-08 02:23:17
4407,enak diajak diskusi,5,2024-08-08 02:54:14
3142,sangat membantu,5,2024-08-08 03:23:25
1631,bagus banget keren tdk nyesel download ini,5,2024-08-08 04:19:27
2548,salam pertama menggunakan bahasa Inggris,4,2024-08-08 04:27:41
7253,nice,5,2024-08-08 04:57:32
7291,baik.,5,2024-08-08 05:07:04
3765,memang seperti Google tapi lebih serius 🇲🇨😁,5,2024-08-08 05:40:35
3799,bagus aplikasinya,4,2024-08-08 05:43:25
7115,bagus,5,2024-08-08 06:00:09
2767,bagus tapi ada yang kurang,5,2024-08-08 06:30:36
7265,BAGUS,5,2024-08-08 06:39:12
8501,buka aplikasi fee fire,5,2024-08-08 06:55:03
2664,sangan membantu saya untuk mencari informasi,5,2024-08-08 07:16:55
4111,bagus banget. suwun,5,2024-08-08 07:23:23
7111,good,5,2024-08-08 08:05:42
4145,setuju banget,5,2024-08-08 09:56:20
1627,Aplikasi nya tdk vaild tlg diperbaiki 🙏,1,2024-08-08 10:01:31
7073,The Best pokoknya 👍👍,5,2024-08-08 10:05:28
7063,sangat bagus,4,2024-08-08 10:16:36
2054,"tidak dapat bekerja, ketika saya coba ketik perintah untuk membuat gambar tertentu... tidak ada hasil",1,2024-08-08 10:46:56
7264,MANTAPP,5,2024-08-08 11:11:29
1623,oke tapi masih agak kurang peka sedikit,4,2024-08-08 11:12:36
304,"Saya suka memakainya, karena mudah mncari Sesuatu yg ingin kita cari, dan pokoknya Worthly bgt...dan lebih Detail, penjelasan nya juga Ok",5,2024-08-08 11:36:20
7347,mantap ni,5,2024-08-08 11:43:39
7160,fun,5,2024-08-08 11:52:59
2841,sangat membanting,5,2024-08-08 12:37:42
7140,bagus,5,2024-08-08 12:45:43
1160,tolong tambahkan fitur membuat gambar ai kalo bisa,5,2024-08-08 12:55:35
7185,good,5,2024-08-08 13:02:31
2793,assalamualaikum semuanya semoga bermanfaat selalu amin 🤲🤲🤲,5,2024-08-08 13:24:16
8664,good,5,2024-08-08 13:28:08
4155,Gimana cara ganti gemini ke asli google,1,2024-08-08 13:49:58
7089,the best AI apps,5,2024-08-08 13:54:24
7167,good,5,2024-08-08 13:54:33
7076,wuih keren🤩,5,2024-08-08 14:32:31
8024,good,5,2024-08-08 14:40:39
181,"jadi AI andalan untuk mempermudah pencarian informasi, karena memang buatan google dan terintegrasi langsung dengan Android..",5,2024-08-08 16:44:22
7045,lumayan,4,2024-08-08 17:19:11
1335,"Sangat Membantu,Mudah Di Pahami.",5,2024-08-08 17:20:05
7203,keren,5,2024-08-08 18:05:59
2912,lumayan buat temen ngobrol :),5,2024-08-08 18:08:27
3384,bru coba oke jg,5,2024-08-08 18:33:51
7365,👍👍👍,5,2024-08-08 22:16:22
7154,keren,5,2024-08-08 22:52:42
7369,👍,5,2024-08-08 23:05:53
2760,apk ya sangat bagus,5,2024-08-09 00:30:41
7085,najis jelekkk,1,2024-08-09 00:46:36
4361,sangat membantu,5,2024-08-09 00:48:59
1098,Sangat membantu guru sekolah dalam mencari materi pembelajaran,5,2024-08-09 00:52:40
1295,"Ai nya bagus, bahasanya tidak terlalu formal",5,2024-08-09 01:25:33
8615,bagus,5,2024-08-09 02:04:57
1206,sangat bagus untuk membantu kegiatan dalam belajar,5,2024-08-09 02:13:56
7314,Yes tankyou,5,2024-08-09 02:25:54
8700,keren,5,2024-08-09 02:35:31
8629,mantaf,5,2024-08-09 02:57:18
8564,Good,5,2024-08-09 03:30:47
2049,Terimakasih kepada insinyur perangkat ini telah menciptakan layanan luar biasa ini 🙏🏻🙏🏻🙏🏻🙏🏻,5,2024-08-09 04:27:35
7206,keren,5,2024-08-09 04:46:13
8375,sangat bagus,5,2024-08-09 06:14:59
7623,bad,1,2024-08-09 06:20:54
7289,awesome👍,5,2024-08-09 06:32:17
2353,Bagus banget deh Gemini nih. soalnya bisa ningkatin produktifitas ku,5,2024-08-09 06:54:46
7171,bagus,5,2024-08-09 07:22:52
7173,keren,5,2024-08-09 08:30:13
2038,"Teman baruku, Gemini namanya. Semoga menjadi aplikasi yang semakin bermanfaat ke depannya.",5,2024-08-09 08:59:20
7103,bagus,5,2024-08-09 09:02:15
7346,very cool,5,2024-08-09 11:30:12
7339,baguss bangett,5,2024-08-09 11:33:54
7145,bagus,5,2024-08-09 11:41:55
8514,Lumayan,3,2024-08-09 12:00:19
2770,pemula baru coba sy kasih bintang 2 saja dulu,2,2024-08-09 12:03:46
996,"Aplikasi Yang Bagus, Tapi Semoga Bisa Ada Fitur Buat Gambar✨🙏",4,2024-08-09 12:12:25
2330,aplikasi ini adalah aplikasi ai terbaik untuk menjawab tugas/pr,5,2024-08-09 12:33:00
7121,menarik,5,2024-08-09 12:46:50
7366,👍,5,2024-08-09 12:58:04
2511,baik sekali dan sangat membantu,5,2024-08-09 13:15:23
7343,chivic prastica,5,2024-08-09 13:32:43
4282,sangan bagus,5,2024-08-09 13:46:41
986,bagus bangett aplikasi nya cocok untuk yang punya pr sekolah,4,2024-08-09 14:35:14
7342,kane cik,5,2024-08-09 17:00:47
3033,Cuma sepenggal kalimat doang yg dingerar dan sering patah patah,3,2024-08-09 17:14:42
7271,mencoba,5,2024-08-09 18:27:22
1354,sangat membantu saya dalam memahami suatu materi,4,2024-08-09 21:04:33
7054,bagus,4,2024-08-09 21:04:51
3552,"mantap nih, lebih humanis 😁",5,2024-08-09 21:15:07
128,"sangat bermanfaat, tanpa adanya syarat premium, apk ini sangat free, semoga ke depannya bisa berkembang lebih baik lagi, dn mohon jangan pernah menyulitkan para pengguna aplikasi GEMINI AI yahh 😇😇🙏💪",5,2024-08-09 21:25:28
3469,Ini aplikasi bagua,5,2024-08-09 22:12:19
1243,sangat menyenangkan dan tanggapan sesuai fakta srrta respin cepat,5,2024-08-09 22:14:25
3445,sangat membantu 🙏,5,2024-08-09 22:26:50
2763,kereeen siih sangat membantu,5,2024-08-09 23:02:48
7064,Jean Allysia,4,2024-08-09 23:18:10
1300,"sangat cocok dengan saya, memudahkan pencarian di internet",5,2024-08-09 23:50:24
3113,lebih bagus ketimbang A.I lain,5,2024-08-10 00:02:01
8651,nice,5,2024-08-10 00:08:20
2755,"keren, lebih keren dari chatgpt",5,2024-08-10 00:14:42
7300,bagus banget,5,2024-08-10 00:26:26
7371,👍👍👍,5,2024-08-10 01:48:04
1077,"Semoga selalu free, jangan premium. aplikasi ini sangat membantu",5,2024-08-10 01:53:16
1280,aplikasi yang sangat mudah dan ringan,5,2024-08-10 02:03:17
903,"Apk nya bagus seperti chat gpt, tapi tolong kasih opsional buat ga ngegantiin asisten google yg biasa, Gemini gada scan layar. Dibuat aplikasi biasa saja tanpa menjadi asisten.",3,2024-08-10 02:21:27
7317,bagus banget,5,2024-08-10 02:24:25
7353,kelas euy,5,2024-08-10 04:11:16
2764,apknya mantapppp baguss bangettt,5,2024-08-10 04:13:59
2099,Setelah ku uninstall ikonnya gak bisa dihapus,1,2024-08-10 04:19:30
7104,bagus,5,2024-08-10 05:06:39
3134,sangat membantu,5,2024-08-10 07:11:00
3470,Sangat membantu,4,2024-08-10 07:22:38
7286,nice,5,2024-08-10 07:35:53
3851,sejauh ini ok,5,2024-08-10 07:48:12
3385,lebih enak google biasa,1,2024-08-10 08:23:20
7105,joooozzz,5,2024-08-10 09:08:24
1305,"Ga bisa di buka , padahal sudah di update",1,2024-08-10 09:38:57
1111,sangat membatu saya dalam bertanya berbagai hal dan banyak jawaban yang bagus,5,2024-08-10 09:48:07
7198,keren,5,2024-08-10 10:09:25
457,"Aplikasinya sangat membantu perkerjaan, saran tambahin fitur seperti voice✨",5,2024-08-10 10:32:57
2659,"Galaxy A Series Bisa Pakai Ini Sekarang,",5,2024-08-10 10:34:42
